cadastral_name,arabic_name,likely_community_name,confidence,category,transaction_count,has_full_data,has_price,has_rent,has_yield,unit_sales,villa_sales,land_sales,unit_share_pct,nearest_landmark,nearest_metro,master_projects_top3,action_needed
Naif South,,,low,B,7,N,N,N,N,0,0,7,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Manara,المناره,Al Manara,medium,B,7,N,N,Y,N,0,870,162,0.0,Burj Al Arab,First Abu Dhabi Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Raffa,الرفاعه,Al Raffa,medium,B,7,N,N,Y,N,0,50,156,0.0,Burj Khalifa,Al Fahidi Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Twar Fifth,الطوار الخامسة,,low,B,7,N,N,Y,N,0,138,116,0.0,Dubai International Airport,Airport Free Zone,,Villa/Land only — no apartment Unit sales (ceiling)
Sikkat Al Khail South,,,low,B,6,N,N,N,N,0,0,6,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Muhaisanah Fourth,محيصنه الرابعه,Muhaisanah Fourth,medium,B,6,N,N,Y,N,0,0,52,0.0,Dubai International Airport,Al Qusais Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Baraha,البراحه,Al Baraha,medium,B,6,N,N,Y,N,0,127,65,0.0,Dubai International Airport,Salah Al Din Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Hamriya,الحمريه,Al Hamriya,medium,B,6,N,N,Y,N,0,16,51,0.0,Dubai International Airport,Burjuman Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Eyal Nasser,عيال ناصر,Ayal Nasir,medium,B,6,N,N,Y,N,0,0,39,0.0,Dubai International Airport,Palm Deira Metro Stations,,Villa/Land only — no apartment Unit sales (ceiling)
Saih Shuaib 4,سيح شعيب 4,Dubai Industrial City,medium,B,6,N,N,N,N,0,0,627,0.0,Al Makhtoum International Airport,,Dubai Industrial City,Villa/Land only — no apartment Unit sales (ceiling)
Jumeirah Third,جميرا الثالثه,Jumeira Third,medium,B,6,N,N,Y,N,0,1029,102,0.0,Burj Khalifa,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Oud Metha,عود ميثا,,low,B,6,N,N,Y,N,0,1,17,0.0,Burj Khalifa,Oud Metha Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Mankhool,منخول,Mankhool,medium,B,5,N,N,Y,N,0,219,133,0.0,Burj Khalifa,Al Fahidi Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Saffa First,الصفا الاولى,Al Safa First,medium,B,5,N,N,Y,N,0,198,28,0.0,Burj Khalifa,Business Bay Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Warsan Second,ورسان الثانيه,AL WARSAN INDUSTRIAL,medium,B,4,N,N,Y,N,0,0,148,0.0,,Rashidiya Metro Station,AL WARSAN INDUSTRIAL,Villa/Land only — no apartment Unit sales (ceiling)
Hor Al Anz East,هور العنز شرق,Hor Al Anz East,medium,B,4,N,N,Y,N,0,169,120,0.0,Dubai International Airport,Al Qiyadah Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Madinat Latifa,مدينة لطيفة,,low,B,4,N,N,N,N,0,0,28,0.0,Dubai Cycling Course,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Buteen,البطين,Al Buteen,medium,B,4,N,N,Y,N,0,0,20,0.0,Dubai International Airport,Baniyas Square Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Nad Shamma,ند شما,Nadd Shamma,medium,B,4,N,N,Y,N,0,105,29,0.0,Dubai International Airport,Rashidiya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Um Ramool,ام رمول,Umm Ramool,medium,B,4,N,N,Y,N,0,1,11,0.0,Dubai International Airport,Emirates Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Goze Third,القوز الثالثه,Al Qouz Third,medium,B,3,N,N,Y,N,0,0,21,0.0,Downtown Dubai,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Muashrah Al Bahraana,,,low,B,3,N,N,N,N,0,0,3,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Ras Al Khor Industrial Third,راس الخور الصناعيه الثالثه,,low,B,3,N,N,Y,N,0,0,32,0.0,Dubai International Airport,Creek Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Twar First,الطوار الاولى,Al Twar First,medium,B,3,N,N,Y,N,0,339,15,0.0,Dubai International Airport,Airport Free Zone,,Villa/Land only — no apartment Unit sales (ceiling)
Saih Shuaib 3,سيح شعيب 3,Dubai Industrial City,medium,B,3,N,N,N,N,0,0,200,0.0,Al Makhtoum International Airport,,Dubai Industrial City,Villa/Land only — no apartment Unit sales (ceiling)
Al Lusaily,اللسيلى,,low,B,3,N,N,Y,N,0,19,41,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Saih Aldahal,سيح الدحل,,low,B,3,N,N,N,N,0,0,24,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Saffa Second,الصفا الثانيه,Al Safa Second,medium,B,3,N,N,Y,N,0,594,67,0.0,Burj Al Arab,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Rowaiyah Third,الرويه الثالثه,,low,B,2,N,N,Y,N,0,1,2,0.0,IMG World Adventures,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Musalla (Deira),,,low,B,2,N,N,N,N,0,0,2,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Garhoud,القرهود,Al Garhoud,medium,B,2,N,N,Y,N,0,262,48,0.0,Dubai International Airport,GGICO Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Goze Industrial Fourth,القوز الصناعيه الرابعه,,low,B,2,N,N,N,N,0,0,2,0.0,Burj Al Arab,First Abu Dhabi Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Qusais,القصيص,,low,B,2,N,N,Y,N,0,0,64,0.0,Dubai International Airport,Airport Free Zone,,Villa/Land only — no apartment Unit sales (ceiling)
Ras Al Khor Industrial Second,راس الخور الصناعيه الثانيه,,low,B,2,N,N,Y,N,0,0,57,0.0,Downtown Dubai,Creek Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Fahidi,,,low,B,1,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Maha,المها,,low,B,1,N,N,Y,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Qusais Industrial First,القصيص الصناعيه الاولى,,low,B,1,N,N,Y,N,0,0,9,0.0,Dubai International Airport,Airport Free Zone,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Nahdah,,,low,B,1,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Qiyadah,,,low,B,1,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Lehbab Second,لهباب الثانية,,low,B,1,N,N,Y,N,0,7,11,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Margham,مرغم,,low,B,1,N,N,Y,N,0,0,46,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Goze Industrial Second,القوز الصناعيه الثانيه,,low,B,1,N,N,Y,N,0,0,14,0.0,Downtown Dubai,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Goze Industrial First,القوز الصناعيه الاولى,,low,B,1,N,N,Y,N,0,0,4,0.0,Burj Al Arab,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Rega,الرقه,Al Rigga,medium,B,1,N,N,Y,N,0,0,5,0.0,Dubai International Airport,Union Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Um Hurair First,ام هرير الاولى,,low,B,1,N,N,Y,N,0,2,5,0.0,Dubai International Airport,Burjuman Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Sabkha,السبخه,Al Sabkha,medium,B,1,N,N,Y,N,0,0,9,0.0,Dubai International Airport,Baniyas Square Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Grayteesah,قريطيسه,,low,B,1,N,N,Y,N,0,0,11,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Eyas,العياص,,low,B,1,N,N,Y,N,0,14,8,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Barsha,البرشاء,,low,B,0,N,N,N,N,0,0,123,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Bur Dubai,بر دبى,,low,B,0,N,N,N,N,0,0,4,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Murar Qadeem,المرر القديم,,low,B,0,N,N,N,N,0,0,59,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Musalla (Dubai),المصلى - دبي,,low,B,0,N,N,N,N,0,0,45,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Qusais Industrial Third,القصيص الصناعيه الثالثه,,low,B,0,N,N,Y,N,0,0,25,0.0,Dubai International Airport,Airport Free Zone,,Villa/Land only — no apartment Unit sales (ceiling)
Al Rowaiyah Second,الروية الثانية,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Ruwayyah,الرويه,The Villa,medium,B,0,N,N,N,N,0,0,2108,0.0,IMG World Adventures,,The Villa | Residential Complex | Dubai International Academic City,Villa/Land only — no apartment Unit sales (ceiling)
Al Yufrah 2,,DAMAC HILLS 2,high,B,0,N,N,N,N,0,2436,3408,0.0,Dubai Cycling Course,,DAMAC HILLS 2,Villa/Land only — no apartment Unit sales (ceiling)
Al-Aweer,العوير,,low,B,0,N,N,N,N,0,0,36,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Yufrah 3,,DAMAC HILLS 2,high,B,0,N,N,N,N,0,1123,2428,0.0,Dubai Cycling Course,,DAMAC HILLS 2,Villa/Land only — no apartment Unit sales (ceiling)
Al-Nakhal,النخل,,low,B,0,N,N,N,N,0,0,18,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Hatta,حتا,Hatta,medium,B,0,N,N,Y,N,0,1,2,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Lehbab,لهباب,,low,B,0,N,N,N,N,0,0,64,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Lehbab First,لهباب الاولى,,low,B,0,N,N,Y,N,0,4,24,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Dubai International Airport,مطار دبي الدولي,,low,B,0,N,N,N,N,0,0,1,0.0,Dubai International Airport,GGICO Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Cornich Deira,كورنيش ديره,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Madinat Hind 1,مدينة هند 1,,low,B,0,N,N,N,N,0,0,17,0.0,IMG World Adventures,,,Villa/Land only — no apartment Unit sales (ceiling)
Madinat Hind 2,مدينة هند 2,,low,B,0,N,N,N,N,0,0,2,0.0,Hamdan Sports Complex,,,Villa/Land only — no apartment Unit sales (ceiling)
Muhaisanah Second,محيصنه الثانيه,Muhaisanah Second,medium,B,0,N,N,Y,N,0,0,9,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Shandagha West,الشندغه غرب,,low,B,0,N,N,N,N,0,0,1,0.0,Burj Khalifa,Al Ghubaiba Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Hudaiba,الحضيبه,Al Hudaiba,medium,B,0,N,N,Y,N,0,55,24,0.0,Burj Khalifa,Al Jafiliya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Faga'A,الفقع,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Mena Jabal Ali,ميناء جبل علي,,low,B,0,N,N,N,N,0,0,55,0.0,Jabel Ali,UAE Exchange Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Zareeba Duviya,زريبه دوييه,,low,B,0,N,N,N,N,0,0,27,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Shandagha East,الشندغه شرق,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Muragab,مرقب,,low,B,0,N,N,N,N,0,0,4,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Tawaa Al Sayegh,طوى الصايغ,,low,B,0,N,N,N,N,0,0,36,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Umm Addamin,أم الدمن,,low,B,0,N,N,N,N,0,0,4,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Tawi Al Muraqqab,طوى مرقب,,low,B,0,N,N,N,N,0,0,27,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Um Suqaim,ام سقيم,,low,B,0,N,N,N,N,0,0,551,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Raulah,الروله,DUBAI HILLS - PALM HILLS,medium,B,0,N,N,N,N,0,0,17,0.0,,,DUBAI HILLS - PALM HILLS,Villa/Land only — no apartment Unit sales (ceiling)
Al Asbaq,العسبق,,low,B,0,N,N,N,N,0,0,17,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Dzahiyyah Al-Jadeedah,الضاحيه الجديده,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Mustashfa West,المستشفى غرب,,low,B,0,N,N,N,N,0,0,2,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Baloosh,البلوش,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Baharna,البحارنه,,low,B,0,N,N,N,N,0,0,5,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Souq Al Kabeer (Deira),السوق الكبير - ديرة,,low,B,0,N,N,N,N,0,0,12,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Burj Nahar,برج نهار,,low,B,0,N,N,N,N,0,0,35,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Festival City First,مدينة المهرجان الأولى,Festival City,medium,B,0,N,N,N,N,0,0,1,0.0,,,Festival City,Villa/Land only — no apartment Unit sales (ceiling)
Mugatrah,مقطرة,,low,B,0,N,N,N,N,0,0,2,0.0,Al Makhtoum International Airport,,,Villa/Land only — no apartment Unit sales (ceiling)
Nad Rashid,ند راشد,,low,B,0,N,N,N,N,0,0,66,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Ras Al Khor,راس الخور,The Lagoons,medium,B,0,N,N,N,N,0,0,93,0.0,,,The Lagoons,Villa/Land only — no apartment Unit sales (ceiling)
Yaraah,يراح,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Qusais Industrial Second,القصيص الصناعيه الثانيه,,low,B,0,N,N,Y,N,0,0,5,0.0,Dubai International Airport,Airport Free Zone,,Villa/Land only — no apartment Unit sales (ceiling)
Al Yufrah 4,اليفره 4,,low,B,0,N,N,N,N,0,0,2,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Ghadeer Barashy,غدير براشي,,low,B,0,N,N,N,N,0,0,1,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Jabal Ali Industrial Third,جبل علي الصناعية الثالثة,Down Town Jabal Ali,medium,B,0,N,N,N,N,0,0,38,0.0,Dubai Parks and Resorts,UAE Exchange Metro Station,Down Town Jabal Ali,Villa/Land only — no apartment Unit sales (ceiling)
Jabal Ali Third,جبل علي الثالثة,,low,B,0,N,N,N,N,0,0,3,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Jumeirah,جميرا,,low,B,0,N,N,N,N,0,0,143,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Nazwah,نزوه,,low,B,0,N,N,N,N,0,0,7,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Wadi Al Safa 6,وادي الصفا 6,Arabian Ranches - 1,high,B,0,N,N,Y,N,0,20915,73,0.0,Motor City,Sharaf Dg Metro Station,Arabian Ranches - 1 | The Villa,Villa/Land only — no apartment Unit sales (ceiling)
Al Qoaz,القوز,,low,B,0,N,N,Y,N,0,0,52,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Yelayiss 3,اليلايس 3,,low,B,0,N,N,N,N,0,0,1,0.0,Dubai Cycling Course,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Yelayiss 4,اليلايس 4,,low,B,0,N,N,N,N,0,2,4,0.0,Dubai Cycling Course,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Cornich,الكورنيش,Al Corniche,medium,B,0,N,N,Y,N,0,0,1,0.0,Dubai International Airport,Palm Deira Metro Stations,,Villa/Land only — no apartment Unit sales (ceiling)
Nad Al Shiba,ند الشبا,Silicon Oasis,high,B,0,N,N,N,N,0,12,1208,0.0,IMG World Adventures,Rashidiya Metro Station,Silicon Oasis | Falcon City | Majan,Villa/Land only — no apartment Unit sales (ceiling)
Al-Riqqa East,الرقه شرق,,low,B,0,N,N,N,N,0,0,26,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Marmoom,المرموم,,low,C,1,N,N,Y,N,0,0,0,0.0,,,,Sparse / new / remote — low priority
Al Khairan Second,,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Layan 2,الليان 2,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Warqa Fifth,الورقاء الخامسة,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Mereiyeel,مرييل,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Muhaisanah Fifth,محيصنة الخامسة,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Hamriya Port,ميناء الحمريه,Al Hamriya Port,medium,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Goze Industrial Third,القوز الصناعيه الثالثه,,low,C,0,N,N,Y,N,0,0,0,0.0,Burj Al Arab,First Abu Dhabi Bank Metro Station,,Identifiable but thin apartment data
Al Zaroob,الزروب,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Layan 1,,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Um Esalay,ام السلي,,low,C,0,N,N,N,N,0,0,0,0.0,,,,Sparse / new / remote — low priority
Riqat Masali,رقعه مسالى,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Hafair,حفير,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Universe Islands,جزر الكون,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Anakhali,نخلي,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Tawi Alfuqa,طوى الفقع,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Baagh,الباغ,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Hathmah,الحثمة,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Meryal,المريال,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Wohoosh,الوحوش,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Souq Sikkat Al Khail,سوق سكه الخيل,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Remah,رماح,,low,C,0,N,N,N,N,0,0,0,0.0,,,,Sparse / new / remote — low priority
Jumeira Island 2,جزيرة جميرا الثانية,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Saih Shuaelah,سيح شعيله,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Oshoosh,العشوش,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Shandagha,الشندغه,Al Shindagha,medium,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Thanyah Second,الثنيه الثانية,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Hessyan Second,حصيان الثانية,Dubai Water Front,medium,C,0,N,Y,N,N,3,0,59,4.8,Jabel Ali,,Dubai Water Front,Sparse / new / remote — low priority
Jabal Ali Second,جبل علي الثانية,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Le Hemaira,الحميرا,,low,C,0,N,N,N,N,0,0,0,0.0,,,,Sparse / new / remote — low priority
Oud Al Muteena,عود المطينة,Oud Al Muteena First,medium,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Al Wajehah Al Bhariyah,الواجهة البحرية,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Saih Alsalam,سيح السلم,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Um Almoameneen,ام المؤمنين,,low,C,0,N,N,N,N,0,0,0,0,,,,Sparse / new / remote — low priority
Business Bay,الخليج التجارى,Business Bay,medium,COVERED,4506,Y,Y,Y,Y,114524,0,495,99.4,Downtown Dubai,Business Bay Metro Station,Business Bay,Covered + correctly named
Dubai Investment Park Second,مجمع دبي للاستثمار الثاني,Dubai Investment Park Second,medium,COVERED,1105,Y,Y,Y,Y,7036,3297,2066,48.3,Expo 2020 Site,DANUBE Metro Station,Dubai Investment Park Second,Covered + correctly named
Dubai Investment Park First,مجمع دبي للاستثمار الاول,Dubai Investment Park First,medium,COVERED,1024,Y,Y,Y,Y,4817,4768,505,41.7,Expo 2020 Site,DANUBE Metro Station,Dubai Investment Park First,Covered + correctly named
Palm Jumeirah,نخلة جميرا,Palm Jumeirah,medium,COVERED,918,Y,Y,Y,Y,36217,5869,1873,82.2,Burj Al Arab,Palm Jumeirah,Palm Jumeirah,Covered + correctly named
Bukadra,بوكدرة,,low,COVERED,655,Y,Y,Y,Y,9813,0,311,96.9,Downtown Dubai,Creek Metro Station,,Covered + correctly named
Trade Center Second,المركز التجارى الثانيه,Trade Center Second,medium,COVERED,138,Y,Y,Y,Y,2092,0,16,94.9,Burj Khalifa,Financial Centre,,Covered + correctly named
Ras Al Khor Industrial First,راس الخور الصناعيه الاولى,Ras Al Khor Industrial First,medium,COVERED,124,Y,Y,Y,Y,3589,0,95,93.9,Downtown Dubai,Creek Metro Station,,Covered + correctly named
Trade Center First,المركز التجارى الاولى,Trade Center First,medium,COVERED,104,Y,Y,Y,Y,890,0,53,75.9,Burj Khalifa,Trade Centre Metro Station,,Covered + correctly named
Al Barsha First,البرشاء الاولى,Al Barsha First,medium,COVERED,72,Y,Y,Y,Y,543,188,440,24.4,Burj Al Arab,Sharaf Dg Metro Station,,Covered + correctly named
Zaabeel First,زعبيل الاولى,Zaabeel First,medium,COVERED,63,Y,Y,Y,Y,2425,2,5,99.7,Burj Khalifa,Al Jafiliya Metro Station,,Covered + correctly named
Saih Shuaib 2,سيح شعيب 2,,low,COVERED,17,Y,Y,Y,Y,1815,506,729,57.3,Al Makhtoum International Airport,UAE Exchange Metro Station,,Covered + correctly named
Port Saeed,بور سعيد,Port Saeed,medium,COVERED,11,Y,Y,Y,Y,898,22,85,62.9,Dubai International Airport,Deira City Centre,,Covered + correctly named
Al Qusais Industrial Fourth,القصيص الصناعيه الرابعه,,low,COVERED,5,Y,Y,Y,Y,195,0,81,60.4,Dubai International Airport,Al Qusais Metro Station,,Covered + correctly named
Al Qusais Industrial Fifth,القصيص الصناعيه الخامسه,,low,COVERED,2,Y,Y,Y,Y,237,0,108,60.6,Dubai International Airport,Al Qusais Metro Station,,Covered + correctly named
